"acc_mean","acc_std","acc_min","acc_max","hr_mean","hr_std","hr_min","hr_max","steps_sum","t","subject_id"
"1.000002359562497","0.0420000000000","0.8740023595625","1.1680023595625","69.00000000","1.90000000","66.00000000","72.80000000","1","0","9001002"
"1.0000294232623803","0.0539582798395","0.8324239786103","1.2198486359004","74.73060513","2.25874840","71.00000000","79.24810192","2","30","9001002"
"1.0000518824759153","0.0639343748918","0.8048530204178","1.2631008403404","72.39573738","2.55803125","69.00000000","77.51179988","0","60","9001002"
"1.0001204930316503","0.0702746640580","0.7855780797962","1.2906440372828","72.71842106","2.74823992","69.00000000","78.21490091","0","90","9001002"
"1.000026428143919","0.0719281914396","0.7786427223664","1.2977152577154","74.59913146","2.79784574","70.00000000","80.19482295","0","120","9001002"
"0.9999233658943272","0.0686208710590","0.7936601627682","1.2832804738167","69.40058995","2.69862613","65.00000000","74.79784221","0","150","9001002"
"0.9999041581478436","0.0609009188999","0.8113648957098","1.2498081400473","74.83650574","2.46702757","71.00000000","79.77056087","0","180","9001002"
"1.000027061854352","0.0500479815279","0.8468252171898","1.2029016484752","72.05790008","2.14143945","69.00000000","76.34077897","0","210","9001002"
"0.9997761731294884","0.0461389760181","0.8573347339473","1.1857117358747","73.02451113","2.02416928","70.00000000","77.07284969","0","240","9001002"
"0.9994332748898392","0.0576398637106","0.8210710123370","1.2352060176359","74.44267142","2.36919591","71.00000000","79.18106324","0","270","9001002"
"0.9992696607279332","0.0665483133319","0.7988253284836","1.2736456851663","69.79939225","2.63644940","66.00000000","75.07229105","0","300","9001002"
"0.9992143154734148","0.0713876749329","0.7791349299875","1.2945609068491","74.91636069","2.78163025","71.00000000","80.47962118","0","330","9001002"
"0.9991227107610492","0.0713557838982","0.7823489422969","1.2943311076534","71.70641677","2.78067352","68.00000000","77.26776380","0","360","9001002"
"0.999114821859118","0.0664579264335","0.7954284009172","1.2730991697376","73.31264164","2.63373779","69.00000000","78.58011723","0","390","9001002"
"1.002929151640306","0.0575059633319","0.8251493384148","1.2381216594120","74.26192323","2.36517890","71.00000000","78.99228103","0","420","9001002"
"1.0006826528763195","0.0459837572656","0.8615367538537","1.1859456010271","70.19462723","2.01951272","67.00000000","74.23365266","0","450","9001002"
"0.9928325893104724","0.0501987898493","0.8362664061382","1.1963606786575","74.96981362","2.14596370","72.00000000","79.26174102","0","480","9001002"
"0.9928176017148056","0.0610223190510","0.8074077886041","1.2432476509357","71.34285596","2.47066957","68.00000000","76.28419510","0","510","9001002"
"0.9927230372651892","0.0686927399505","0.7820632906059","1.2763915770507","73.58152681","2.70078220","70.00000000","78.98309120","0","540","9001002"
"0.992790380936874","0.0719386162023","0.7719168388483","1.2905243844802","74.05769348","2.79815849","70.00000000","79.65401045","0","570","9001002"
"0.9926903587267778","0.0702219167004","0.7804400774973","1.2829853310951","70.58453113","2.74665750","66.00000000","76.07784613","0","600","9001002"
"0.9927116650936608","0.0638271987291","0.7952334428929","1.2552961929200","74.99662601","2.55481596","71.00000000","80.10625794","0","630","9001002"
"0.9926422559354025","0.0538144402161","0.8292300952357","1.2118381635386","70.96884005","2.25443321","68.00000000","75.47770646","0","660","9001002"
"0.99269226022136","0.0421566604649","0.8613923121114","1.1613711222359","73.82996672","1.90469981","71.00000000","77.63936634","0","690","9001002"
"0.9926389579118198","0.0541017933651","0.8255026842561","1.2130800624938","73.83089356","2.26305380","70.00000000","78.35700116","0","720","9001002"
"0.993094510693627","0.0640409529121","0.7990042879642","1.2566053066463","70.96736399","2.56122859","67.00000000","76.08982117","0","750","9001002"
"0.993783869828256","0.0703266403758","0.7768072704978","1.2845326447902","74.99667820","2.74979921","71.00000000","80.49627663","0","780","9001002"
"0.9939501314216408","0.0719169505461","0.7766132416711","1.2915902504547","70.58603811","2.79750852","66.00000000","76.18105515","0","810","9001002"
"0.993749838932749","0.0685482762261","0.7830481575642","1.2767923692460","74.05685269","2.69644829","70.00000000","79.44974926","0","840","9001002"
"0.9937354120198004","0.0607790033277","0.8068158664659","1.2431110931064","73.58253557","2.46337010","70.00000000","78.50927577","0","870","9001002"
"0.993689867279169","0.0498969537410","0.8416575886444","1.1959100001567","71.34141741","2.13690861","68.00000000","75.61523464","0","900","9001002"
"0.9937970609338144","0.0462940819023","0.8489448452666","1.1804047491773","74.96996996","2.02882246","72.00000000","79.02761487","2","930","9001002"
"0.993736928121697","0.0577733375960","0.8192207569232","1.2300880577044","70.19615841","2.37320013","67.00000000","74.94255867","1","960","9001002"
